spring	A <b>spring</b> popped out of the watch.	They met again in the <b>spring</b> of 1977.	F
nail	A mirror hung on a <b>nail</b> above the washstand.	Keep your <b>nails</b> short and your hands clean.	F
drop	I thought I felt a <b>drop</b> of rain.	Temperatures can <b>drop</b> to freezing at night.	F
coach	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	We're going to the airport by <b>coach</b>.	T
hand	He wiped his sweaty <b>hand</b>.	I put my <b>hand</b> into my pocket and pulled out the letter.	T
fingernails	She had long red <b>fingernails</b>.	A mirror hung on a <b>nail</b> above the washstand.	F
coach	That man was appointed as the new <b>coach</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	F
coach	She has recently joined the amateur team as <b>coach</b>.	As we headed back to London, the <b>coach</b> was badly delayed by roadworks.	F
nails	Please stop biting your <b>nails</b>!	Keep your <b>nails</b> short and your hands clean.	T
duck	I <b>duck</b> the head to hide my admiration.	Chickens and <b>ducks</b> scratch around the outbuildings.	F
drop	I thought I felt a <b>drop</b> of rain.	His blood pressure had <b>dropped</b> severely.	F
spring	The cat wants to <b>spring</b> onto the sofa.	Throwing back the sheet, he <b>springs</b> from the bed.	T
nails	Please stop biting your <b>nails</b>!	She had long red <b>fingernails</b>.	T
ring	He bought her an emerald <b>ring</b>.	I would <b>ring</b> when I got back to the hotel.	F
leads	Pass me those two <b>leads</b> please.	His goal gave them a two-goal <b>lead</b> once more time.	F
fingernails	Keep your <b>fingernails</b> short and your hands clean.	He hammered the <b>nail</b> into the branch.	F
match	It would be difficult to <b>match</b> the service this airline gives its customers.	You should always strike a <b>match</b> away from you.	F
match	You should always strike a <b>match</b> away from you.	He was watching a football <b>match</b>.	F
bus	We're going to the airport by <b>bus</b>.	They had to travel everywhere by <b>bus</b>.	T
bat	She showed me how to hold the <b>bat</b>.	Due to their physiology, <b>bats</b> are one type of animal that acts as a natural reservoir of many pathogens.	F
nail	He hammered the <b>nail</b> into the branch.	She had long red <b>fingernails</b>.	F
ducked	He <b>ducked</b> in time to save his head from a blow from the poker.	I <b>duck</b> the head to hide my admiration.	T
bank	I used to work in the local branch of a large <b>bank</b>.	Which <b>bank</b> offers you the service that best suits your financial needs?	T
match	He was watching a football <b>match</b>.	Do you really think our team has a chance of <b>matching</b> their score?	F
match	You should always strike a <b>match</b> away from you.	They bough two boxes of <b>matches</b>.	T
nails	Keep your <b>nails</b> short and your hands clean.	She had long red <b>fingernails</b>.	T
match	Chelsea have a <b>match</b> with United next week.	It would be difficult to <b>match</b> the service this airline gives its customers.	F
spring	A <b>spring</b> popped out of the watch.	The cat wants to <b>spring</b> onto the sofa.	F
match	He was watching a football <b>match</b>.	Chelsea have a <b>match</b> with United next week.	T
band	They were probably the most famous <b>band</b> in the world.	A <b>band</b> of light glowed in the space between floor and door.	F
bank	When we reached the opposite <b>bank</b>, the boat was sinking fast.	The children pelted down the <b>bank</b>, over the bridge and along the path.	T
coach	That man was appointed as the new <b>coach</b>.	She has recently joined the amateur team as <b>coach</b>.	T
drop	I thought I felt a <b>drop</b> of rain.	Add the cream a few <b>drops</b> at a time..	T
rock	I listen to country and <b>rock</b>.	She once told an interviewer that they didn't even like <b>rock</b> music.	T
fingernails	Keep your <b>fingernails</b> short and your hands clean.	Please stop biting your <b>nails</b>!	T
equal	We raised a lot of money last year and we're hoping to <b>equal</b> that this year.	It would be difficult to <b>equal</b> the service this airline gives its customers.	T
rock	I listen to country and <b>rock</b>.	Huge waves crashed against the <b>rocks</b>.	F
beads	He wiped away the <b>beads</b> of sweat on his forehead.	Add the cream a few <b>beads</b> at a time..	T
stick	She showed me how to hold the <b>stick</b>.	Unlike a baseball <b>stick</b> a cricket one has an edge which is significantly sharper.	T
ring	I would <b>ring</b> when I got back to the hotel.	I <b>ring</b> home once a week to tell my parents I'm okay.	T
matching	Do you really think our team has a chance of <b>matching</b> their score?	It would be difficult to <b>match</b> the service this airline gives its customers.	T
ring	He bought her an emerald <b>ring</b>.	I <b>ring</b> home once a week to tell my parents I'm okay.	F
rocks	Huge waves crashed against the <b>rocks</b>.	She once told an interviewer that they didn't even like <b>rock</b> music.	F
spring	The cat wants to <b>spring</b> onto the sofa.	Both <b>springs</b> in the fuel pump were broken.	F
springs	Both <b>springs</b> in the fuel pump were broken.	A <b>spring</b> popped out of the watch.	T
lead	They now have a <b>lead</b> of 28 points.	Pass me those two <b>leads</b> please.	F
phoned	She <b>phoned</b> just after lunch.	I would <b>phone</b> when I got back to the hotel.	T
palm	The island has long golden beaches fringed by <b>palm</b> trees.	He wiped his sweaty <b>palm</b>.	F
spring	They met again in the <b>spring</b> of 1977.	The cat wants to <b>spring</b> onto the sofa.	F
bank	When we reached the opposite <b>bank</b>, the boat was sinking fast.	I used to work in the local branch of a large <b>bank</b>.	F
Chiropterans	<b>Chiropterans</b> are more manoeuvrable than birds.	Any mammal, of the order <b>Chiroptera</b>, that has forelimbs modified to form wings.	T
strip	A <b>strip</b> of light glowed in the space between floor and door.	Serve dish with <b>strips</b> of fresh raw vegetables.	T
ring	I <b>ring</b> home once a week to tell my parents I'm okay.	I'm looking at a <b>ring</b> with a jewel attached to it.	F
ruler	The country was without a <b>ruler</b> after the queen died.	The current <b>ruler</b> is concentrating all power in his own hands. 	T
nails	Keep your <b>nails</b> short and your hands clean.	Keep your <b>fingernails</b> short and your hands clean.	T
bank	Which <b>bank</b> offers you the service that best suits your financial needs?	The children pelted down the <b>bank</b>, over the bridge and along the path.	F
spring	We planted bulbs to flower in <b>spring</b>.	A <b>spring</b> popped out of the watch.	F
potentates	Colonial rulers groomed and paid local <b>potentates</b>.	The country was without a <b>potentate</b> after the queen died.	T
match	Chelsea have a <b>match</b> with United next week.	They bough two boxes of <b>matches</b>.	F
springs	Throwing back the sheet, he <b>springs</b> from the bed.	Both <b>springs</b> in the fuel pump were broken.	F
springs	Throwing back the sheet, he <b>springs</b> from the bed.	They met again in the <b>spring</b> of 1977.	F
match	It would be difficult to <b>match</b> the service this airline gives its customers.	They bough two boxes of <b>matches</b>.	F
nail	He hammered the <b>nail</b> into the branch.	A mirror hung on a <b>nail</b> above the washstand.	T
springtime	Cherry trees bloom in the <b>springtime</b>.	We planted bulbs to flower in <b>spring</b>.	T
spring	They met again in the <b>spring</b> of 1977.	We planted bulbs to flower in <b>springtime</b>.	T
bank	I used to work in the local branch of a large <b>bank</b>.	The children pelted down the <b>bank</b>, over the bridge and along the path.	F
palm	This tiny device fits into the <b>palm</b> of your hand.	He wiped his sweaty <b>palm</b>.	T
ruler	The country was without a <b>ruler</b> after the queen died.	Most <b>rulers</b> work by having numbers and little lines.	F
bat	She showed me how to hold the <b>bat</b>.	I accidentally bashed him with my <b>bat</b>.	T
match	You should always strike a <b>match</b> away from you.	Do you really think our team has a chance of <b>matching</b> their score?	F
springs	Throwing back the sheet, he <b>springs</b> from the bed.	A <b>spring</b> popped out of the watch.	F
game	A <b>game</b> consists of two halves lasting 45 minutes, meaning it is 90 minutes long.	He was watching a football <b>game</b>.	T
coach	We're going to the airport by <b>coach</b>.	That man was appointed as the new <b>coach</b>.	F
fingernails	She had long red <b>fingernails</b>.	Keep your <b>fingernails</b> short and your hands clean.	T
spring	We planted bulbs to flower in <b>spring</b>.	Throwing back the sheet, he <b>springs</b> from the bed.	F
drakes	The <b>drakes</b> started quacking loudly when we threw them some bread.	A lone <b>drake</b> sat by the edge of the pond.	T
rock	I listen to country and <b>rock</b>.	She picked up a <b>rock</b> and threw it into the trees.	F
rock	She once told an interviewer that they didn't even like <b>rock</b> music.	She picked up a <b>rock</b> and threw it into the trees.	F
nails	Keep your <b>nails</b> short and your hands clean.	He hammered the <b>nail</b> into the branch.	F
palm	He wiped his sweaty <b>palm</b>.	More than two-thirds of <b>palms</b> live in tropical forests.	F
spring	They met again in the <b>spring</b> of 1977.	Cherry trees bloom in the <b>springtime</b>.	T
lower	I <b>lower</b> the head to hide my admiration.	She <b>lowered</b> her gaze to the hands in her lap.	T
nail	A mirror hung on a <b>nail</b> above the washstand.	Keep your <b>fingernails</b> short and your hands clean.	F
band	They were probably the most famous <b>band</b> in the world.	A narrow <b>band</b> of grass separated the greenhouse from the vegetable garden.	F
tack	A mirror hung on a <b>tack</b> above the washstand.	He fixed it with three <b>tacks</b>.	T
rulers	Most <b>rulers</b> work by having numbers and little lines.	The current <b>ruler</b> is concentrating all power in his own hands. 	F
lead	She lifted the <b>lead</b> again.	She lifted the <b>lead</b> again.	F
bank	When we reached the opposite <b>bank</b>, the boat was sinking fast.	Which <b>bank</b> offers you the service that best suits your financial needs?	F
ring	He bought her an emerald <b>ring</b>.	I'm looking at a <b>ring</b> with a jewel attached to it.	T
band	A <b>band</b> of light glowed in the space between floor and door.	This week the <b>band</b> did the last gig of their tour.	F
drops	Add the cream a few <b>drops</b> at a time..	Temperatures can <b>drop</b> to freezing at night.	F
match	He was watching a football <b>match</b>.	They bough two boxes of <b>matches</b>.	F
spring	They met again in the <b>spring</b> of 1977.	Both <b>springs</b> in the fuel pump were broken.	F
ensemble	He has also formed an exciting <b>ensemble</b> with several other musicians.	They were probably the most famous <b>ensemble</b> in the world.	T
lead	She lifted the <b>lead</b> again.	Pass me those two <b>leads</b> please.	T
coach	We're going to the airport by <b>coach</b>.	She has recently joined the amateur team as <b>coach</b>.	F
springtime	We planted bulbs to flower in <b>springtime</b>.	Cherry trees bloom in the <b>springtime</b>.	T
lead	They now have a <b>lead</b> of 28 points.	His goal gave them a two-goal <b>lead</b> once more time.	T
spring	We planted bulbs to flower in <b>spring</b>.	They met again in the <b>spring</b> of 1977.	T
rock	She picked up a <b>rock</b> and threw it into the trees.	Huge waves crashed against the <b>rocks</b>.	T
spring	The cat wants to <b>spring</b> onto the sofa.	Cherry trees bloom in the <b>springtime</b>.	F
band	A <b>band</b> of light glowed in the space between floor and door.	A narrow <b>band</b> of grass separated the greenhouse from the vegetable garden.	T
drop	Temperatures can <b>drop</b> to freezing at night.	His blood pressure had <b>dropped</b> severely.	T
spring	The cat wants to <b>spring</b> onto the sofa.	We planted bulbs to flower in <b>spring</b>.	F
ring	I would <b>ring</b> when I got back to the hotel.	I'm looking at a <b>ring</b> with a jewel attached to it.	F
trainer	That man was appointed as the new <b>trainer</b>.	They need a new <b>trainer</b> for the young athletes.	T
duck	I <b>duck</b> the head to hide my admiration.	The <b>ducks</b> started quacking loudly when we threw them some bread.	F
nails	Please stop biting your <b>nails</b>!	He hammered the <b>nail</b> into the branch.	F
nails	Please stop biting your <b>nails</b>!	A mirror hung on a <b>nail</b> above the washstand.	F
lead	His goal gave them a two-goal <b>lead</b> once more time.	She lifted the <b>lead</b> again.	F
advantage	They now have an <b>advantage</b> of 28 points.	The player who scores the next point after deuce has the <b>advantage</b>.	T
palm	The island has long golden beaches fringed by <b>palm</b> trees.	This tiny device fits into the <b>palm</b> of your hand.	F
financial institution	I used to work in the local branch of a large <b>financial institution</b>.	How do credit unions differ from other <b>financial institutions</b>?	T
stone	Use that <b>stone</b> there to hold the door open.	She picked up a <b>stone</b> and threw it into the trees.	T
match	It would be difficult to <b>match</b> the service this airline gives its customers.	He was watching a football <b>match</b>.	F
ducks	Chickens and <b>ducks</b> scratch around the outbuildings.	The <b>ducks</b> started quacking loudly when we threw them some bread.	T
springtime	Cherry trees bloom in the <b>springtime</b>.	A <b>spring</b> popped out of the watch.	F
band	This week the <b>band</b> did the last gig of their tour.	A narrow <b>band</b> of grass separated the greenhouse from the vegetable garden.	F
match	You should always strike a <b>match</b> away from you.	Chelsea have a <b>match</b> with United next week.	F
lead	They now have a <b>lead</b> of 28 points.	She lifted the <b>lead</b> again.	F
bat	I accidentally bashed him with my <b>bat</b>.	Due to their physiology, <b>bats</b> are one type of animal that acts as a natural reservoir of many pathogens.	F
springtime	We planted bulbs to flower in <b>springtime</b>.	We planted bulbs to flower in <b>spring</b>.	T
springs	Both <b>springs</b> in the fuel pump were broken.	We planted bulbs to flower in <b>spring</b>.	F
matching	Do you really think our team has a chance of <b>matching</b> their score?	Chelsea have a <b>match</b> with United next week.	F
palms	More than two-thirds of <b>palms</b> live in tropical forests.	The island has long golden beaches fringed by <b>palm</b> trees.	T
palm	This tiny device fits into the <b>palm</b> of your hand.	More than two-thirds of <b>palms</b> live in tropical forests.	F
spring	A <b>spring</b> popped out of the watch.	We planted bulbs to flower in <b>springtime</b>.	F
springtime	We planted bulbs to flower in <b>springtime</b>.	The cat wants to <b>spring</b> onto the sofa.	F
band	This week the <b>band</b> did the last gig of their tour.	They were probably the most famous <b>band</b> in the world.	T
